Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,41.580002,41.950001,40.66,41.16,495000,38.91674
2013-03-01,38.689999,41.759998,38.189999,41.610001,209600,39.342213
2013-02-01,38.07,40.060001,37.189999,39.00,294600,36.874462
2013-01-02,35.540001,38.009998,34.799999,37.73,285400,35.49979
2012-12-03,34.369999,35.080002,33.34,34.73,298400,32.67712
2012-11-01,34.98,36.02,32.23,34.169998,312200,32.150219
2012-10-01,35.540001,37.18,34.93,35.610001,265000,33.311375
2012-09-04,34.209999,36.330002,34.18,35.470001,301400,33.180412
2012-08-01,30.290001,34.610001,29.91,34.240002,411500,32.029812
2012-07-02,31.540001,32.32,29.91,30.129999,294200,28.029886
2012-06-01,29.190001,31.780001,28.77,31.370001,401700,29.183458
2012-05-01,31.360001,31.780001,28.889999,29.860001,459800,27.620556
2012-04-02,31.58,31.83,29.82,31.41,370800,29.054308
2012-03-01,31.559999,32.380001,30.33,31.620001,345900,29.24856
2012-02-01,30.26,32.330002,29.35,31.379999,537800,29.026558
2012-01-03,30.450001,30.870001,27.700001,30.08,529200,27.677477
2011-12-01,30.049999,30.690001,27.82,29.82,337200,27.438244
2011-11-01,30.00,30.280001,27.08,30.07,505900,27.668276
2011-10-03,29.00,32.68,27.49,30.98,431000,28.336035
2011-09-01,32.119999,32.599998,27.66,29.27,413800,26.771975
2011-08-01,35.299999,35.299999,27.76,32.18,554000,29.433622
2011-07-01,35.07,36.759998,34.049999,34.990002,280300,31.814896
2011-06-01,35.98,36.119999,33.139999,34.98,312200,31.805801
2011-05-02,36.299999,36.57,34.200001,36.09,292800,32.674641
2011-04-01,34.82,36.119999,33.23,36.040001,248400,32.629375
2011-03-01,33.98,35.18,31.860001,34.540001,299900,31.271326
2011-02-01,35.080002,35.84,32.700001,33.849998,406500,30.646622
2011-01-03,36.700001,37.380001,34.560001,34.82,256200,31.3848
2010-12-01,34.790001,38.00,34.790001,36.459999,221000,32.863003
2010-11-01,34.389999,35.84,33.689999,34.41,323200,31.015249
2010-10-01,33.52,34.869999,32.66,34.220001,260000,30.70903
2010-09-01,29.10,33.650002,28.98,33.220001,313200,29.81163
2010-08-02,32.279999,32.93,28.07,28.77,349400,25.818199
2010-07-01,31.190001,32.310001,28.68,31.790001,369000,28.385468
2010-06-01,31.67,33.119999,29.84,31.08,469800,27.751503
2010-05-03,33.369999,34.630001,30.50,31.83,604000,28.421183
2010-04-01,33.77,38.16,33.279999,33.279999,608100,29.613266
2010-03-01,31.530001,34.630001,31.49,33.66,396000,29.951399
2010-02-01,26.110001,31.90,25.73,31.610001,789200,28.127264
2010-01-04,27.969999,28.48,25.65,26.08,619100,23.125278
2009-12-01,32.549999,33.650002,25.65,27.969999,1239900,24.801151
2009-11-02,29.299999,35.419998,29.01,32.310001,519700,28.649454
2009-10-01,30.280001,33.040001,29.15,29.26,446600,24.345238
2009-09-01,28.85,30.85,27.809999,30.450001,351500,25.335356
2009-08-03,28.23,29.77,27.02,29.02,308500,24.14555
2009-07-01,26.299999,30.23,24.68,28.08,478900,23.272694
2009-06-01,23.91,26.459999,23.780001,26.08,524300,21.615093
2009-05-01,23.90,27.02,22.219999,23.629999,850400,19.584534
