Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,15.02,15.11,14.93,14.98,100200,10.160331
2013-03-01,15.42,15.72,14.90,15.01,58300,10.180678
2013-02-01,15.67,16.41,14.89,15.56,75600,10.553721
2013-01-02,14.70,15.91,14.66,15.51,77100,10.21915
2012-12-03,14.27,14.52,13.95,14.51,93700,9.560274
2012-11-01,14.39,15.00,12.86,14.19,97400,9.349434
2012-10-01,16.00,16.059999,14.25,14.35,97000,9.147439
2012-09-04,16.120001,17.50,15.66,15.94,72200,10.160988
2012-08-01,15.99,16.620001,15.80,16.190001,59900,10.320352
2012-07-02,15.98,16.57,15.72,15.90,47900,9.849522
2012-06-01,16.67,17.129999,15.63,15.90,46900,9.849522
2012-05-01,18.07,18.74,15.95,16.91,55000,10.475183
2012-04-02,18.809999,19.00,17.66,18.09,45700,10.919341
2012-03-01,17.870001,18.90,17.52,18.90,73300,11.408267
2012-02-01,17.360001,18.549999,17.27,17.780001,66000,10.732222
2012-01-03,15.88,17.440001,15.72,17.25,46200,10.149874
2011-12-01,16.15,16.41,15.10,15.66,64400,9.21432
2011-11-01,16.75,17.879999,15.57,16.049999,48700,9.443795
2011-10-03,15.37,17.889999,13.85,16.98,59600,9.727125
2011-09-01,17.120001,17.190001,15.05,15.49,44400,8.873568
2011-08-01,18.68,18.85,15.79,17.02,78900,9.75004
2011-07-01,19.08,20.299999,18.290001,18.51,62700,10.330395
2011-06-01,19.280001,19.450001,17.549999,19.00,63400,10.603863
2011-05-02,19.799999,19.99,19.219999,19.26,62300,10.748968
2011-04-01,19.559999,19.99,19.32,19.780001,50200,10.783238
2011-03-01,20.030001,20.15,18.84,19.379999,61400,10.565174
2011-02-01,19.85,20.66,19.32,19.99,80200,10.89772
2011-01-03,19.200001,20.08,19.200001,19.860001,63000,10.581244
2010-12-01,19.59,19.59,18.799999,19.17,61300,10.213617
2010-11-01,18.940001,19.639999,18.25,19.01,73100,10.128371
2010-10-01,18.76,18.99,18.51,18.91,53700,9.835258
2010-09-01,18.049999,19.290001,17.59,18.82,51400,9.788447
2010-08-02,18.700001,19.00,17.35,17.469999,42000,9.086301
2010-07-01,18.299999,18.99,17.26,18.450001,48000,9.358035
2010-06-01,18.139999,18.50,16.93,18.120001,56800,9.190656
2010-05-03,19.92,19.92,16.16,18.34,87600,9.302241
2010-04-01,19.860001,20.08,19.120001,19.85,72900,9.830053
2010-03-01,19.700001,20.629999,19.51,19.77,71200,9.790436
2010-02-01,19.700001,20.030001,18.299999,19.549999,59100,9.681488
2010-01-04,20.10,22.60,19.50,19.75,79500,9.780532
2009-12-01,20.040001,21.10,19.99,20.00,42200,9.679876
2009-11-27,20.01,20.01,20.00,20.00,49100,9.679876
