Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,30.030001,30.360001,29.91,30.32,6557200,27.454769
2013-03-01,30.09,31.35,29.75,30.01,3888200,27.174065
2013-02-01,33.950001,34.630001,29.84,30.25,5130100,27.391384
2013-01-02,33.650002,34.650002,33.400002,34.02,3231600,30.672068
2012-12-03,32.790001,33.459999,31.959999,32.98,3256500,29.734413
2012-11-01,34.040001,35.18,31.17,32.610001,4088800,29.400827
2012-10-01,33.110001,34.630001,32.560001,33.619999,4437200,30.190958
2012-09-04,31.33,35.82,30.90,32.849998,4550400,29.499493
2012-08-01,30.82,33.049999,29.90,31.280001,3040800,28.089624
2012-07-02,28.950001,31.93,27.799999,30.540001,4947200,27.310867
2012-06-01,26.299999,29.74,25.950001,28.950001,5080900,25.888985
2012-05-01,33.48,33.77,26.530001,26.99,6039900,24.136223
2012-04-02,32.59,33.59,29.290001,33.040001,5456000,29.409229
2012-03-01,35.950001,36.459999,31.73,32.700001,4763400,29.106592
2012-02-01,34.759998,37.369999,33.400002,35.939999,5629600,31.891745
2012-01-03,29.77,34.919998,29.76,34.50,5782900,30.613945
2011-12-01,30.02,31.450001,26.299999,28.83,5877700,25.582611
2011-11-01,29.66,33.27,27.059999,30.02,7706200,26.638571
2011-10-03,25.16,33.400002,22.549999,31.91,8733100,28.209373
2011-09-01,32.009998,32.389999,24.940001,25.440001,8431600,22.489704
2011-08-01,39.689999,39.689999,29.00,31.90,9889500,28.101522
2011-07-01,39.009998,41.880001,37.959999,38.220001,5918500,33.668972
2011-06-01,41.860001,41.950001,36.93,39.099998,6307800,34.444183
2011-05-02,46.040001,47.00,38.759998,41.900002,7871500,36.80859
2011-04-01,45.279999,46.84,41.93,46.040001,5912000,40.445526
2011-03-01,47.139999,48.529999,40.25,44.84,8001100,39.391342
2011-02-01,41.810001,47.619999,40.009998,47.02,9951400,41.217487
2011-01-03,38.799999,41.669998,36.540001,41.509998,7544200,36.387447
2010-12-01,34.23,38.490002,34.18,38.290001,4937500,33.564816
2010-11-01,32.630001,36.599998,32.200001,33.610001,6817000,29.376446
2010-10-01,32.959999,35.400002,31.530001,32.009998,6392900,27.977982
2010-09-01,30.860001,33.50,30.719999,32.549999,5334100,28.449963
2010-08-02,33.459999,34.169998,29.15,30.26,4461900,26.366255
2010-07-01,29.370001,33.16,28.559999,32.950001,5221300,28.710117
2010-06-01,30.809999,34.77,29.379999,29.440001,8036400,25.65177
2010-05-03,34.790001,34.900002,27.65,30.459999,12288000,26.453686
2010-04-01,33.130001,35.709999,32.209999,34.169998,8801900,29.67572
2010-03-01,29.290001,32.849998,29.01,32.540001,7894700,28.260113
2010-02-01,32.18,32.810001,28.040001,28.91,12163800,25.029488
2010-01-04,36.59,38.220001,31.379999,31.65,6092200,27.401705
2009-12-01,36.759998,37.799999,33.380001,35.310001,5742700,30.570435
2009-11-02,33.369999,37.369999,32.18,36.209999,7872600,31.349627
2009-10-01,35.00,39.619999,31.84,33.02,7808300,28.513941
2009-09-01,30.549999,37.310001,29.60,34.560001,8154300,29.843786
2009-08-03,33.77,35.049999,30.41,30.639999,6801500,26.378759
2009-07-01,31.18,34.09,25.51,32.48,11353900,27.962864
2009-06-01,36.619999,36.93,27.559999,30.34,10935700,26.120483
2009-05-01,26.00,36.529999,25.959999,35.41,14557800,30.447031
2009-04-01,21.870001,26.440001,21.610001,25.360001,9328600,21.805613
2009-03-02,19.870001,27.92,18.209999,22.209999,15926200,19.097105
2009-02-02,18.99,22.34,16.950001,20.790001,11812500,17.841738
2009-01-02,19.690001,25.309999,17.370001,19.25,11855800,16.520126
2008-12-01,20.379999,22.99,15.29,19.50,8314600,16.734674
2008-11-03,23.870001,25.98,14.52,21.440001,11299300,18.365232
2008-10-01,40.509998,41.119999,17.83,23.92,14983300,20.489569
2008-09-02,53.950001,53.950001,38.00,42.139999,9557500,36.096588
2008-08-01,54.060001,59.650002,49.119999,56.84,5767300,48.647301
2008-07-01,57.799999,61.990002,50.799999,54.50,6900700,46.644581
2008-06-02,67.580002,69.940002,58.009998,58.119999,5596000,49.742805
2008-05-01,110.019997,148.550003,66.089996,68.349998,6965500,58.454647
2008-04-01,96.68,121.300003,92.620003,112.690002,5720000,48.187668
2008-03-03,103.440002,111.080002,89.830002,96.349998,5785300,41.200478
2008-02-01,94.959999,107.080002,89.290001,103.199997,4464000,44.129623
2008-01-02,109.50,113.459999,79.339996,93.940002,7232000,40.132835
2007-12-03,95.00,111.330002,94.699997,108.730003,3229200,46.451389
2007-11-01,107.720001,117.980003,94.559998,95.760002,5488500,40.910374
2007-10-01,94.75,109.50,91.400002,109.230003,5821600,46.617104
2007-09-04,89.760002,100.110001,88.82,94.809998,5318400,40.462944
2007-08-01,90.160004,92.449997,82.370003,89.389999,5132000,38.149803
2007-07-02,91.00,96.410004,87.449997,90.470001,5650200,38.568161
2007-06-01,87.620003,93.519997,85.589996,89.919998,4759000,38.333691
2007-05-01,80.599998,89.43,79.809998,87.18,4750400,37.165604
2007-04-02,76.050003,82.900002,75.709999,80.50,5048800,34.281189
2007-03-01,70.150002,77.790001,67.779999,76.349998,5264400,32.513897
2007-02-01,74.50,75.379997,70.25,71.129997,5339600,30.26156
2007-01-03,77.400002,77.400002,69.239998,74.349998,7755200,31.631477
2006-12-01,78.419998,82.080002,76.389999,78.910004,3684700,33.571487
2006-11-01,74.510002,81.800003,73.440002,79.019997,5351500,33.618282
2006-10-02,71.260002,79.610001,64.059998,76.650002,7391400,32.580097
2006-09-01,77.620003,78.889999,63.77,72.050003,7845000,30.624866
2006-08-01,81.18,86.779999,77.190002,77.580002,4290900,32.975391
2006-07-03,81.800003,85.370003,75.889999,81.050003,5303300,34.41885
2006-06-01,78.980003,83.849998,67.360001,81.010002,7182900,34.401863
2006-05-01,87.25,89.580002,72.209999,81.129997,6058600,34.45282
2006-04-03,78.00,89.879997,77.50,85.739998,4953900,36.37793
2006-03-01,75.00,79.400002,69.699997,77.019997,5263500,32.678192
2006-02-01,80.099998,82.150002,69.00,74.75,6287600,31.69301
2006-01-03,63.669998,80.419998,63.560001,80.010002,5712000,33.923183
2005-12-01,57.00,66.00,56.860001,63.130001,4471400,26.766285
2005-11-01,53.50,58.470001,51.48,56.889999,5060500,24.100677
2005-10-03,60.540001,61.150002,48.09,53.630001,7772700,22.719624
2005-09-01,59.50,62.50,56.43,60.529999,5208500,25.642715
2005-08-01,49.599998,59.669998,49.48,59.259998,4896800,25.104696
2005-07-01,47.400002,53.189999,47.400002,48.900002,3364200,20.697592
2005-06-01,39.509998,48.950001,39.450001,47.32,2966200,20.028835
2005-05-02,36.799999,40.25,35.700001,39.389999,2447800,16.652037
2005-04-01,40.700001,42.599998,35.380001,36.860001,3261300,15.582486
2005-03-01,38.48,41.700001,36.619999,40.209999,3103400,16.998692
2005-02-01,32.50,40.25,32.119999,39.049999,3062600,16.482939
2005-01-03,35.41,35.41,31.33,32.00,2582500,13.507146
2004-12-01,34.400002,35.689999,31.16,35.400002,1917300,14.942281
2004-11-01,34.310001,35.540001,32.110001,34.77,2066400,14.651032
2004-10-01,32.139999,36.150002,31.35,34.099998,2517600,14.368713
2004-09-01,27.950001,32.630001,27.84,32.009998,2201500,13.48805
2004-08-02,28.98,30.00,27.01,27.92,2279500,11.764647
2004-07-01,25.85,29.18,24.90,28.98,1874700,12.184945
2004-06-01,24.00,26.68,23.60,25.610001,2050000,10.767994
2004-05-03,24.00,25.950001,23.200001,23.65,1823900,9.926551
2004-04-01,27.65,28.09,22.549999,23.90,2147800,10.031483
2004-03-01,26.25,28.75,26.059999,27.35,1460600,11.479543
2004-02-02,25.24,26.73,24.700001,25.98,1549400,10.884674
2004-01-02,25.01,27.030001,24.68,25.24,1673400,10.574641
2003-12-01,22.299999,25.42,22.059999,25.059999,1046500,10.499228
2003-11-03,21.07,22.50,20.799999,22.360001,850300,9.347079
2003-10-01,18.57,21.15,18.57,21.02,789500,8.786923
2003-09-02,18.85,19.59,18.35,18.549999,749200,7.754396
2003-08-01,18.309999,19.23,17.860001,18.65,701700,7.775298
2003-07-01,18.719999,19.15,17.90,18.23,682200,7.600197
2003-06-02,18.40,19.68,18.299999,18.75,817900,7.816988
2003-05-01,16.60,18.83,16.60,18.450001,744300,7.671072
2003-04-01,17.469999,17.50,16.10,16.450001,766600,6.839519
2003-03-03,18.450001,18.50,16.42,17.469999,886700,7.26361
2003-02-03,17.120001,18.450001,16.530001,18.27,740200,7.596232
2003-01-02,15.64,17.35,15.32,17.049999,810200,7.072049
2002-12-02,14.95,16.370001,14.78,15.67,539600,6.499649
2002-11-01,14.60,16.01,14.43,14.88,602100,6.154914
2002-10-01,16.90,17.16,14.20,14.70,765800,6.08046
2002-09-03,17.90,17.93,15.80,16.950001,579600,7.011143
2002-08-01,16.60,18.25,16.18,17.959999,663900,7.410234
2002-07-01,17.799999,17.90,13.95,16.559999,662400,6.832599
2002-06-03,17.43,17.98,16.10,17.860001,619000,7.368975
2002-05-01,34.799999,36.450001,17.10,17.42,632000,7.168622
2002-04-01,36.400002,37.130001,32.299999,34.77,1026800,7.154219
2002-03-01,33.400002,37.810001,33.209999,36.16,750400,7.440223
2002-02-01,30.700001,33.549999,29.77,33.349998,490400,6.845597
