Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,51.00,51.41,49.90,50.38,579200,50.38
2013-03-01,44.13,51.41,44.07,51.11,243300,51.11
2013-02-01,42.20,45.33,41.49,44.28,303900,44.28
2013-01-01,34.49,42.51,34.49,41.86,268000,41.86
2012-12-03,36.27,36.27,33.494,34.49,172600,34.49
2012-11-01,35.94,37.96,34.60,36.51,213100,36.51
2012-10-01,36.42,37.25,33.04,35.94,206800,35.94
2012-09-03,34.02,39.77,33.75,36.17,256500,36.17
2012-08-01,36.44,39.56,33.73,34.02,235000,34.02
2012-07-02,37.45,39.214,34.90,36.11,324700,36.11
2012-06-01,28.90,37.48,28.73,37.17,259000,37.17
2012-05-01,26.78,30.60,25.65,29.25,136700,29.25
2012-04-02,25.62,27.47,25.13,26.69,112600,26.69
2012-03-01,25.11,26.6304,23.21,25.67,172100,25.67
2012-02-01,24.00,27.99,23.98,25.34,131100,25.34
2012-01-02,22.62,24.46,21.50,23.8301,110000,23.8301
2011-12-01,22.50,22.75,21.05,22.62,317300,22.62
2011-11-01,21.49,25.39,20.61,22.98,103900,22.98
2011-10-03,19.63,22.50,18.42,21.96,77700,21.96
2011-09-01,20.97,23.98,19.29,19.93,149700,19.93
2011-08-01,16.45,21.80,15.60,21.10,130100,21.10
2011-07-01,15.75,18.35,15.66,16.31,67200,16.31
2011-06-01,14.32,16.67,14.28,15.72,52400,15.72
2011-05-02,13.86,15.56,12.83,14.34,49200,14.34
2011-04-01,13.17,16.00,12.93,13.79,40700,13.79
2011-03-01,13.85,15.07,13.00,13.09,38500,13.09
2011-02-01,14.51,16.00,13.62,13.85,36700,13.85
2011-01-03,13.99,14.63,12.99,14.42,42600,14.42
2010-12-01,13.64,14.98,12.88,13.85,64200,13.85
2010-11-01,13.76,15.40,13.08,13.44,49900,13.44
2010-10-01,14.11,15.3445,13.45,13.67,57900,13.67
2010-09-01,11.71,14.50,11.64,14.00,87700,14.00
2010-08-02,11.99,12.25,11.20,11.61,53900,11.61
2010-07-01,11.86,12.74,11.04,12.01,67900,12.01
2010-06-01,10.08,11.99,9.04,11.79,53400,11.79
2010-05-03,10.86,11.09,9.59,10.03,69000,10.03
2010-04-01,8.44,11.03,8.38,10.77,154600,10.77
2010-03-01,8.42,9.10,8.276,8.45,34200,8.45
2010-02-01,8.71,9.03,8.27,8.38,50400,8.38
2010-01-04,8.67,9.21,8.51,8.82,43900,8.82
2009-12-01,10.66,11.00,8.11,8.59,71300,8.59
2009-11-02,11.92,12.62,10.50,10.60,31600,10.60
2009-10-01,12.56,12.68,11.30,11.89,33500,11.89
2009-09-01,10.70,13.34,10.28,12.57,74400,12.57
2009-08-03,11.91,12.44,10.61,10.73,61500,10.73
2009-07-01,11.32,13.01,10.66,11.77,21400,11.77
2009-06-01,13.51,14.24,10.50,11.19,33500,11.19
2009-05-01,14.015,14.11,10.7213,13.58,46700,13.58
2009-04-01,13.63,14.86,11.42,14.45,34700,14.45
2009-03-02,10.15,14.91,9.91,13.44,51800,13.44
2009-02-02,12.86,14.36,8.53,10.03,23100,10.03
2009-01-02,13.31,14.96,11.50,13.07,18300,13.07
2008-12-01,11.84,15.39,10.07,13.29,41500,13.29
2008-11-03,15.56,17.96,10.09,12.14,40100,12.14
2008-10-01,14.88,16.28,10.90,15.58,38200,15.58
2008-09-02,18.97,19.27,12.76,15.06,75700,15.06
2008-08-01,12.37,19.495,11.13,18.71,75400,18.71
2008-07-01,9.59,13.08,7.68,12.34,57800,12.34
2008-06-02,11.84,12.10,9.23,9.68,107800,9.68
2008-05-01,15.28,16.38,11.41,11.88,73400,11.88
2008-04-01,18.73,19.45,14.75,15.24,80800,15.24
2008-03-03,23.50,24.69,17.53,18.77,61300,18.77
2008-02-01,23.84,26.55,22.50,24.22,40800,24.22
2008-01-02,20.72,28.49,20.13,23.60,68300,23.60
2007-12-03,23.74,26.39,19.91,20.50,40100,20.50
2007-11-01,25.10,25.72,20.39,23.58,28300,23.58
2007-10-01,20.83,25.17,20.09,24.94,33700,24.94
2007-09-04,16.77,23.28,16.60,21.25,42400,21.25
2007-08-01,15.07,17.49,14.26,16.77,31900,16.77
2007-07-02,16.30,17.50,14.62,14.81,29900,14.81
2007-06-01,15.13,17.07,14.70,16.21,66100,16.21
2007-05-01,15.15,15.97,14.25,15.41,52200,15.41
2007-04-02,17.50,17.77,15.12,15.15,24300,15.15
2007-03-01,17.93,17.99,15.54,17.88,46700,17.88
2007-02-01,18.18,19.50,17.00,18.50,25700,18.50
2007-01-03,18.09,18.45,16.25,18.36,37500,18.36
2006-12-01,19.25,20.50,17.85,18.00,61300,18.00
2006-11-01,18.48,20.75,17.76,19.89,82300,19.89
2006-10-19,17.10,19.14,16.90,18.20,748400,18.20
