Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,6.04,6.09,5.72,6.01,161200,6.01
2013-03-01,6.42,6.769,5.90,6.05,90900,6.05
2013-02-01,6.63,6.82,6.08,6.41,97200,6.41
2013-01-01,5.29,6.60,5.29,6.59,108600,6.59
2012-12-03,4.86,5.53,4.69,5.29,119100,5.29
2012-11-01,5.68,5.78,4.015,4.80,215800,4.80
2012-10-01,6.15,6.33,5.33,5.69,117700,5.69
2012-09-03,5.97,6.58,5.75,6.11,76300,6.11
2012-08-01,5.76,6.41,5.31,5.97,58800,5.97
2012-07-02,5.37,6.38,5.23,5.73,73800,5.73
2012-06-01,5.61,5.86,5.25,5.33,119900,5.33
2012-05-01,5.64,5.88,5.08,5.75,91100,5.75
2012-04-02,5.75,5.94,5.30,5.64,97500,5.64
2012-03-01,5.65,5.96,4.7901,5.72,145500,5.72
2012-02-01,7.46,7.77,5.56,5.59,153900,5.59
2012-01-02,6.87,7.51,6.87,7.35,113900,7.35
2011-12-01,6.32,7.555,6.01,6.87,211300,6.87
2011-11-01,5.22,6.49,5.07,6.42,212600,6.42
2011-10-03,4.63,5.95,4.03,5.51,161600,5.51
2011-09-01,4.30,5.98,2.058,4.69,223700,4.69
2011-08-01,5.52,6.00,3.92,4.32,154000,4.32
2011-07-01,5.95,6.31,2.262,5.45,121700,5.45
2011-06-01,6.51,6.65,5.56,5.99,205700,5.99
2011-05-02,6.11,6.76,2.33,6.50,248200,6.48909
2011-04-01,6.18,6.69,5.85,6.10,171300,6.08977
2011-03-01,5.44,6.40,4.90,6.07,352400,6.05982
2011-02-01,4.67,6.49,2.681,5.39,472400,5.37073
2011-01-03,5.09,5.33,2.728,4.68,253400,4.66327
2010-12-01,5.28,5.28,3.91,5.05,711600,5.03194
2010-11-01,6.92,6.99,2.804,5.20,289500,5.16927
2010-10-01,7.27,7.57,6.3654,6.87,375900,6.8294
2010-09-01,7.34,7.72,3.08,7.17,266700,7.12763
2010-08-02,8.84,9.2099,6.71,7.21,336000,7.07987
2010-07-01,9.54,9.57,3.211,8.72,183700,8.56261
2010-06-01,9.96,10.31,9.17,9.50,175100,9.32854
2010-05-03,11.07,11.16,3.447,3.447,380500,3.35376
2010-04-01,11.60,12.45,10.24,11.07,335300,10.77057
2010-03-01,12.09,12.48,11.53,11.53,194100,11.21813
2010-02-01,12.02,12.80,3.03,12.05,200300,11.6387
2010-01-04,12.20,12.50,11.41,12.00,263500,11.5904
2009-12-01,12.63,12.77,11.00,12.10,447800,11.68699
2009-11-02,13.47,14.01,11.87,12.44,119100,11.91986
2009-10-01,14.32,15.06,13.34,13.38,131800,12.82055
2009-09-01,14.27,15.62,13.31,14.40,148100,13.7979
2009-08-03,14.00,15.30,13.50,14.46,178800,13.76922
2009-07-01,14.06,15.00,12.25,13.76,165800,13.10266
2009-06-01,13.16,14.22,11.88,13.97,158100,13.30263
2009-05-01,12.70,14.35,11.89,12.81,244400,12.10937
2009-04-01,15.08,17.13,11.77,12.79,358500,12.09046
2009-03-02,13.44,17.26,11.88,15.53,365400,14.6806
2009-02-02,14.62,18.58,2.10,13.57,289900,12.73973
2009-01-02,19.10,19.29,1.85,14.65,313000,13.75366
2008-12-01,13.89,19.73,12.51,18.95,245900,17.79057
2008-11-03,18.55,19.34,1.52,14.62,220000,13.65121
2008-10-01,20.01,20.82,12.43,18.56,261300,17.33013
2008-09-01,3.78,22.52,3.78,20.16,339000,18.8241
2008-08-01,19.06,20.5999,16.86,20.18,232500,18.75581
2008-07-01,16.53,19.92,3.09,18.92,310800,17.58474
2008-06-02,18.45,19.70,16.30,16.61,357500,15.43776
2008-05-01,12.99,19.46,3.51,18.48,301800,17.08437
2008-04-01,12.28,14.23,11.30,13.12,280600,12.12917
2008-03-03,11.45,14.07,10.13,12.23,486400,11.30638
2008-02-01,15.38,16.005,3.44,11.39,327500,10.45071
2008-01-02,12.57,15.88,3.37,15.45,333200,14.1759
2007-12-03,13.71,14.60,12.25,12.67,260800,11.62516
2007-11-01,18.57,18.70,6.65,13.56,385400,12.36709
2007-10-01,17.62,18.99,15.85,18.99,251300,17.3194
2007-09-03,15.24,19.03,15.24,17.69,273200,16.13376
2007-08-01,17.60,22.99,16.61,17.74,386500,16.10372
2007-07-02,21.77,22.30,12.02,17.65,261200,16.02202
2007-06-01,24.29,24.89,20.92,21.62,240500,19.62584
2007-05-01,25.98,27.33,21.11,24.14,386400,21.83893
2007-04-02,24.33,28.22,24.01,25.99,251700,23.51258
2007-03-01,25.66,26.50,22.54,24.81,314700,22.44506
2007-02-01,25.33,31.99,9.66,26.31,434300,23.72787
2007-01-02,7.70,26.48,7.70,25.23,267200,22.75387
2006-12-01,32.44995,37.48995,31.56,35.70,296200,21.46421
2006-11-01,27.79005,33.84,10.09,32.37,271600,19.36736
2006-10-02,24.88995,30.10995,24.00,27.79005,188600,16.62712
2006-09-01,24.66,25.50,7.51,24.88995,165500,14.89196
2006-08-01,26.02005,26.53995,24.19005,24.60,134800,14.61025
2006-07-03,24.13995,26.25,6.76,26.07,139600,15.4833
2006-06-01,23.28,25.96005,21.90,24.12,215000,14.32517
2006-05-01,27.64005,29.82,5.27,23.23005,174200,12.97604
2006-04-03,26.14995,27.91005,26.10,27.39,153700,15.29974
2006-03-01,24.37995,26.31,23.47005,26.14995,134700,14.60707
2006-02-01,23.31,25.09005,4.03,24.37005,126100,13.5204
2006-01-02,3.20,23.71005,3.20,23.23005,100500,12.88793
2005-12-01,20.68995,21.97995,19.78995,20.94,98100,11.61742
2005-11-01,17.67,22.15005,3.48,20.62005,147900,11.356
2005-10-03,16.35015,18.00,15.16005,18.00,122600,9.91307
2005-09-01,16.24005,17.05995,3.98,16.39995,69000,9.03188
2005-08-01,18.66,18.96,16.2501,16.41,68200,8.95668
2005-07-01,17.25015,18.91995,3.25,18.91995,58500,10.32663
2005-06-01,15.79995,18.34005,15.79995,17.7501,64300,9.68811
2005-05-02,14.65009,17.29995,2.79,15.94005,81700,8.62666
2005-04-01,16.09995,16.60005,14.30,14.59999,91600,7.90143
2005-03-01,18.10995,18.94005,15.66,16.15005,106600,8.74031
2005-02-01,20.35005,20.83005,1.99,18.06,93900,9.68946
2005-01-03,21.82005,21.97005,1.39,20.32005,71300,10.90201
2004-12-01,21.30,22.84005,21.30,21.91995,80000,11.76038
2004-11-01,19.09995,21.31005,1.08,21.13995,103400,11.26665
2004-10-01,16.12995,19.99995,16.12995,19.20,63400,10.23275
2004-09-01,14.63,16.2501,1.16,16.2501,51300,8.66058
2004-08-02,13.70,15.06,13.33001,14.8801,57900,7.85604
2004-07-01,15.3501,15.3801,1.20,13.9501,65000,7.36504
2004-06-01,16.15005,16.68015,1.27,15.48015,63400,8.17284
2004-05-03,16.20,16.51005,1.31,1.31,73500,0.63716
2004-04-01,17.71005,17.98005,16.24005,16.93005,80600,8.23452
2004-03-01,17.70,17.98005,16.44,17.91,78200,8.71115
2004-02-02,17.32005,18.28995,1.27,17.7801,74700,8.57184
2004-01-02,17.89995,19.29,1.39,17.26005,110000,8.32112
2003-12-01,18.75015,19.30005,17.65005,18.10005,93300,8.72609
2003-11-03,21.64005,21.84,1.65,18.9501,83200,9.06118
2003-10-01,19.69995,22.20,19.69995,21.70005,84200,10.3761
2003-09-01,1.68,21.25005,1.68,19.74,101000,9.43888
2003-08-01,20.29995,20.58,18.82995,18.99,57900,9.01126
2003-07-01,20.14995,22.51005,1.56,20.35005,106400,9.65664
2003-06-02,18.75015,21.60,18.75015,20.14995,154600,9.56169
2003-05-01,16.51995,18.75015,1.35,18.75015,102400,8.83154
2003-04-01,14.06,16.75005,14.06,16.57005,85300,7.80469
2003-03-03,12.76,14.29001,11.89999,14.13,77400,6.65539
